RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
39,7399098064,45,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,AC Milan Fan,35-54, ,Milan,Overall Interested,Watcher,1.056101695
40,7399279018,40,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Inter Milan Fan,35-54, ,Milan,Unaware, ,0.966666667
41,7398838414,49,Male,North west,Basketball is one of my top sports,Yes,Yes,No,Yes,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,No,Yes,Yes,Yes,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,150.000€ and over,Milano,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,I feel positively towards AC Milan,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
42,7399009458,38,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Unaware, ,0.993939394
43,7399135834,61,Male,North west,I watch basketball occasionally,Yes,Yes,Yes,No,No,No,Very likely,Somewhat unlikely,I don't like football branding in basketball,No change, ,Yes,Yes,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.023529412
44,7398965680,56,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,Yes,Yes,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,0.966666667
45,7399170782,69,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,AC Milan Fan,55+,"25-49,999€",Milan,Unaware, ,1.056101695
46,7399243004,42,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,Yes,Yes,No,No,Follow highlights and social media,Because it is Italy's team in the league,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,Yes,No,No,No,Yes,No,AC Milan Fan,35-54, ,Milan,Unaware, ,0.920240964
47,7399278994,37,Male,North west,I watch basketball occasionally,No,Yes,Yes,Yes,No,No,Very likely,Very likely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
48,7398838420,48,Female,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,Yes,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Non Watcher,0.966666667
49,7397158898,53,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,Yes,No,No,No,No,No,No,No,Inter Milan Fan,35-54, ,Milan,Unaware, ,0.966666667
50,7399279016,72,Female,North west,Basketball is one of my top sports,No,Yes,Yes,No,No,No,Very likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Inter Milan Fan,55+, ,Milan,Overall Interested,Watcher,0.966666667
51,7399100882,65,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+,"0-24,999€",Milan,Unaware, ,0.993939394
52,7399205964,54,Female,North west,Basketball is one of my top sports,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54, ,Milan,Overall Interested,Non Watcher,0.966666667
53,7399009444,55,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Very likely, ,Significantly increase my interest,Because I trust and follow AC Milan,No,Yes,No,Yes,No,No,Attend a game in person,Because it is affiliated with AC Milan,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,AC Milan Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,0.920240964
54,7399135806,56,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,Yes,No,No,Other Serie A Fan,55+, ,Milan,Unaware, ,0.993939394
55,7399309802,42,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,35-54, ,Milan,Unaware, ,0.920240964
56,7399437354,48,Female,North west,I watch basketball occasionally,Yes,No,Yes,No,No,No,Somewhat unlikely,Very unlikely,Other/not sure,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.920240964
57,7399135838,51,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Milan,Unaware, ,0.992682927
58,7397198636,40,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.966666667
59,7399448112,39,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"50,000€ +",Milan,Unaware, ,0.992682927
60,7399278978,44,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,Yes,Yes,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Unaware, ,0.920240964
61,7399205942,50,Male,North west,Basketball is one of my top sports,Yes,No,Yes,No,No,No,Very likely,Very likely, ,Significantly increase my interest, ,Yes,Yes,Yes,Yes,Yes,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,150.000€ and over,Milano,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
62,7399410464,41,Male,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,No,No,No,Yes,No,Yes,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
63,7399238854,37,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
64,7399361570,39,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat likely,Somewhat likely, ,No change, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Unaware, ,1.004081633
65,7399170810,40,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,5.000€ to 9.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,0.993939394
66,7399309834,59,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,AC Milan Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,1.056101695
67,7399135764,64,Male,North west,Basketball is one of my top sports,No,No,Yes,No,No,No,Very likely,Somewhat likely,I prefer a team that represents Milan as a city rather than one football club,Moderately increase my interest, ,No,Yes,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
68,7399100876,71,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,10.000€ to 14.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,Yes,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Milan,Unaware, ,0.920240964
69,7399410468,58,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+, ,Milan,Unaware, ,1.004081633
70,7399410530,55,Male,North west,I watch basketball occasionally,No,Yes,No,Yes,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,Yes,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.023529412
71,7398965672,39,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Unaware, ,1.004081633
72,7398801526,54,Male,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Somewhat likely,Very likely, ,Moderately increase my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,150.000€ and over,Milano,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
